Column |Name                                   |Description                                                                               |Links to or Called in                                         |Notes
 99    |factionId                              |Faction ID. Determines if the entity is friendly, hostile or neutral                      |Faction2: Column 0?                                           |
100    |minLevel                               |The lowest level this entity was planned to be                                            |                                                              |
101    |maxLevel                               |The highest level this entity was planned to be                                           |                                                              |
102    |rescanCooldownTypeEnum                 |                                                                                          |                                                              |
103    |rescanCooldown                         |                                                                                          |                                                              |
104    |creature2AffiliationId                 |Kinda like a guild title for entitys (Example: <Dominion Ops>)                            |Creature2Affiliation: Column 0                                |
105    |itemIdDisplayItemRight                 |Holds a weapon/item in right(?) hand                                                      |????                                                          |
106    |soundEventIdAggro                      |                                                                                          |SoundEvent: Column 0                                          |
107    |soundEventIdAware                      |                                                                                          |SoundEvent: Column 0                                          |
108    |soundImpactDescriptionIdOrigin         |                                                                                          |                                                              |
109    |soundImpactDescriptionIdTarget         |                                                                                          |                                                              |
110    |soundSwitchIdModel                     |                                                                                          |                                                              |
111    |soundCombatLoopId                      |                                                                                          |SoundCombatLoop: Column 0                                     |
112    |randomTextLineIdGoodbye00              |                                                                                          |                                                              |
113    |randomTextLineIdGoodbye01              |                                                                                          |                                                              |
114    |randomTextLineIdGoodbye02              |                                                                                          |                                                              |
115    |randomTextLineIdGoodbye03              |                                                                                          |                                                              |
116    |randomTextLineIdGoodbye04              |                                                                                          |                                                              |
117    |randomTextLineIdGoodbye05              |                                                                                          |                                                              |
118    |randomTextLineIdGoodbye06              |                                                                                          |                                                              |
119    |randomTextLineIdGoodbye07              |                                                                                          |                                                              |
120    |randomTextLineIdGoodbye08              |                                                                                          |                                                              |
121    |randomTextLineIdGoodbye09              |                                                                                          |                                                              |
122    |randomTextLineIdHello00                |                                                                                          |                                                              |
123    |randomTextLineIdHello01                |                                                                                          |                                                              |
124    |randomTextLineIdHello02                |                                                                                          |                                                              |
125    |randomTextLineIdHello03                |                                                                                          |                                                              |
126    |randomTextLineIdHello04                |                                                                                          |                                                              |
127    |randomTextLineIdHello05                |                                                                                          |                                                              |
128    |randomTextLineIdHello06                |                                                                                          |                                                              |
129    |randomTextLineIdHello07                |                                                                                          |                                                              |
130    |randomTextLineIdHello08                |                                                                                          |                                                              |
131    |randomTextLineIdHello09                |                                                                                          |                                                              |
132    |randomTextLineIdIntro                  |                                                                                          |                                                              |
133    |localizedTextIdDefaultGreeting         |                                                                                          |                                                              |
134    |randomTextLineIdReturn00               |                                                                                          |                                                              |
135    |randomTextLineIdReturn01               |                                                                                          |                                                              |
136    |randomTextLineIdReturn02               |                                                                                          |                                                              |
137    |randomTextLineIdReturn03               |                                                                                          |                                                              |
138    |randomTextLineIdReturn04               |                                                                                          |                                                              |
139    |randomTextLineIdReturn05               |                                                                                          |                                                              |
140    |randomTextLineIdReturn06               |                                                                                          |                                                              |
141    |randomTextLineIdReturn07               |                                                                                          |                                                              |
142    |randomTextLineIdReturn08               |                                                                                          |                                                              |
143    |randomTextLineIdReturn09               |                                                                                          |                                                              |
144    |localizedTextIdReturnGreeting          |                                                                                          |                                                              |
145    |randomTextLineIdCompleted              |                                                                                          |                                                              |
146    |localizedTextIdCompletedGreeting       |                                                                                          |                                                              |
147    |unitVoiceTypeId                        |                                                                                          |                                                              |
148    |gossipSetId                            |                                                                                          |                                                              |
149    |unitVisualTypeId                       |                                                                                          |                                                              |
150    |spell4VisualGroupIdAttached            |                                                                                          |                                                              |
151    |genericStringGroupsIdInteractContext   |                                                                                          |                                                              |
152    |creature2ActionSetId                   |                                                                                          |                                                              |
153    |creature2ActionTextId                  |Random Text displayed/said when Combat is started, ends, or death of team member          |Creature2ActionText: Column 0                                 |
154    |pathMissionIdSoldier                   |                                                                                          |                                                              |
155    |instancePortalId                       |Instance portal ID                                                                        |InstancePortal: Column 0                                      |
156    |modelSequenceIdAnimationPriority00     |                                                                                          |                                                              |
157    |modelSequenceIdAnimationPriority01     |                                                                                          |                                                              |
158    |modelSequenceIdAnimationPriority02     |                                                                                          |                                                              |
159    |modelSequenceIdAnimationPriority03     |                                                                                          |                                                              |
160    |modelSequenceIdAnimationPriority04     |                                                                                          |                                                              |
161    |prerequisiteIdPriority00               |                                                                                          |                                                              |
162    |prerequisiteIdPriority01               |                                                                                          |                                                              |
163    |prerequisiteIdPriority02               |                                                                                          |                                                              |
164    |prerequisiteIdPriority03               |                                                                                          |                                                              |
165    |prerequisiteIdPriority04               |                                                                                          |                                                              |
166    |donutDrawDistance                      |                                                                                          |                                                              |
167    |archiveArticleIdInteractUnlock         |                                                                                          |                                                              |
168    |tradeskillHarvestingInfoId             |                                                                                          |                                                              |
169    |ccStateImmunitiesFlags                 |                                                                                          |????                                                          |
170    |creature2ResistId                      |Determines how much damage this entity gets from a damage type (Physical, Tech, or Magic) |Creature2Resist:  Column 0                                    |
171    |unitVehicleId                          |                                                                                          |                                                              |
172    |creature2DisplayInfoIdPortraitOverride |Overrides portrait with something else                                                    |????                                                          |
